"relased year","movie name","world wide box office","domestic box office","international box office"
"2019","Frozen II","$1,444,735,491","$477,373,578","$967,361,913"
"2013","Frozen","$1,261,629,241","$400,953,009","$860,676,232"
"2018","Incredibles 2","$1,242,805,359","$608,581,744","$634,223,615"
"2015","Minions","$1,157,271,759","$336,045,770","$821,225,989"
"2019","Toy Story 4","$1,073,064,540","$434,038,008","$639,026,532"
"2010","Toy Story 3","$1,068,879,522","$415,004,880","$653,874,642"
"2017","Despicable Me 3","$1,032,809,657","$264,624,300","$768,185,357"
"2016","Finding Dory","$1,025,006,125","$486,295,561","$538,710,564"
"2016","Zootopia","$1,004,629,935","$341,268,248","$663,361,687"
"1994","The Lion King","$986,193,783","$421,785,283","$564,408,500"
"2013","Despicable Me 2","$975,216,835","$368,065,385","$607,151,450"
"2003","Finding Nemo","$936,094,852","$380,529,370","$555,565,482"
"2004","Shrek 2","$935,253,978","$441,226,247","$494,027,731"
"2022","Minions: The Rise of Gru","$934,722,303","$369,041,305","$565,680,998"
"2009","Ice Age: Dawn of the Dinosaurs","$886,686,817","$196,573,705","$690,113,112"
"2016","The Secret Life of Pets","$885,302,500","$368,384,330","$516,918,170"
"2012","Ice Age: Continental Drift","$879,765,137","$161,321,843","$718,443,294"
"2015","Inside Out","$853,037,219","$356,461,711","$496,575,508"
"2007","Shrek the Third","$807,330,936","$322,719,944","$484,610,992"
"2017","Coco","$797,660,271","$210,460,015","$587,200,256"
"2010","Shrek Forever After","$756,244,673","$238,736,787","$517,507,886"
"2012","Madagascar 3: Europe's Most Wanted","$746,921,271","$216,391,482","$530,529,789"
"2013","Monsters University","$743,455,810","$268,488,329","$474,967,481"
"2019","Ne Zha Zhi Mo Tong Jiang Shi","$742,718,496","$3,695,533","$739,022,963"
"2009","Up","$731,463,377","$293,004,164","$438,459,213"
"2011","Kung Fu Panda 2","$664,837,547","$165,249,063","$499,588,484"
"2006","Ice Age: The Meltdown","$651,899,282","$195,330,621","$456,568,661"
"2014","Big Hero 6","$648,415,024","$222,527,828","$425,887,196"
"2008","Kung Fu Panda","$631,910,531","$215,434,591","$416,475,940"
"2016","Moana","$631,499,621","$248,757,044","$382,742,577"
"2004","The Incredibles","$631,441,092","$261,441,092","$370,000,000"
"2016","Sing","$631,064,182","$270,329,045","$360,735,137"
"2007","Ratatouille","$626,549,695","$206,445,654","$420,104,041"
"2014","How to Train Your Dragon 2","$614,586,270","$177,002,924","$437,583,346"
"2008","Madagascar: Escape 2 Africa","$599,680,774","$180,174,880","$419,505,894"
"2010","Tangled","$583,777,242","$200,821,936","$382,955,306"
"2013","The Croods","$573,068,425","$187,168,425","$385,900,000"
"2001","Monsters, Inc.","$560,483,719","$290,149,425","$270,334,294"
"2011","Cars 2","$560,155,383","$191,450,875","$368,704,508"
"2005","Madagascar","$556,559,566","$193,595,521","$362,964,045"
"2011","Puss in Boots","$554,987,477","$149,260,504","$405,726,973"
"2012","Brave","$554,606,532","$237,282,182","$317,324,350"
"2010","Despicable Me","$543,464,573","$251,513,985","$291,950,588"
"2008","WALL-E","$532,508,025","$223,808,164","$308,699,861"
"2018","Ralph Breaks The Internet","$529,290,830","$201,091,711","$328,199,119"
"2017","The Boss Baby","$527,909,949","$175,003,033","$352,906,916"
"2018","Hotel Transylvania 3: Summer Vacation","$527,706,567","$167,500,092","$360,206,475"
